Results
Data from Matlab    Data from Simulation
002C2               002C2               TRUE      
001F1               001F1               TRUE      
002A3               002A3               TRUE      
002B7               002B7               TRUE      
0021A               0021A               TRUE      
00322               00322               TRUE      
001F3               001F3               TRUE      
00215               00215               TRUE      
00230               00230               TRUE      
00225               00225               TRUE      
002B5               002B5               TRUE      
002CD               002CD               TRUE      
002E8               002E8               TRUE      
002F8               002F8               TRUE      
002D3               002D3               TRUE      
00268               00268               TRUE      
00236               00236               TRUE      
002B3               002B3               TRUE      
001F7               001F7               TRUE      
0026C               0026C               TRUE      
0025B               0025B               TRUE      
0021F               0021F               TRUE      
0022A               0022A               TRUE      
002B8               002B8               TRUE      
00286               00286               TRUE      
002D5               002D5               TRUE      
0029B               0029B               TRUE      
00296               00296               TRUE      
0023F               0023F               TRUE      
002FC               002FC               TRUE      
0032C               0032C               TRUE      
00210               00210               TRUE      
00360               00360               TRUE      
001CB               001CB               TRUE      
00256               00256               TRUE      
002F0               002F0               TRUE      
00273               00273               TRUE      
00367               00367               TRUE      
00234               00234               TRUE      
002FD               002FD               TRUE      
00270               00270               TRUE      
002CA               002CA               TRUE      
00311               00311               TRUE      
002D1               002D1               TRUE      
002F8               002F8               TRUE      
002D7               002D7               TRUE      
002BB               002BB               TRUE      
002CB               002CB               TRUE      
0027E               0027E               TRUE      
002D1               002D1               TRUE      
00209               00209               TRUE      
0026B               0026B               TRUE      
002CA               002CA               TRUE      
00271               00271               TRUE      
002FE               002FE               TRUE      
002CA               002CA               TRUE      
002A2               002A2               TRUE      
002D3               002D3               TRUE      
00357               00357               TRUE      
00307               00307               TRUE      
00251               00251               TRUE      
0038D               0038D               TRUE      
003B5               003B5               TRUE      
002D9               002D9               TRUE      
003B8               003B8               TRUE      
00250               00250               TRUE      
002F8               002F8               TRUE      
003A1               003A1               TRUE      
002CA               002CA               TRUE      
003CB               003CB               TRUE      
002A8               002A8               TRUE      
002E3               002E3               TRUE      
002A4               002A4               TRUE      
00330               00330               TRUE      
0037D               0037D               TRUE      
00321               00321               TRUE      
0035F               0035F               TRUE      
00376               00376               TRUE      
00333               00333               TRUE      
0030F               0030F               TRUE      
002B5               002B5               TRUE      
00352               00352               TRUE      
00292               00292               TRUE      
0036F               0036F               TRUE      
0032F               0032F               TRUE      
002B5               002B5               TRUE      
00394               00394               TRUE      
002F8               002F8               TRUE      
00350               00350               TRUE      
0037E               0037E               TRUE      
0022C               0022C               TRUE      
0024F               0024F               TRUE      
0022E               0022E               TRUE      
002C0               002C0               TRUE      
002D5               002D5               TRUE      
001F1               001F1               TRUE      
002D1               002D1               TRUE      
001E4               001E4               TRUE      
002BE               002BE               TRUE      
00273               00273               TRUE      
0025C               0025C               TRUE      
002D9               002D9               TRUE      
0024C               0024C               TRUE      
0028A               0028A               TRUE      
00237               00237               TRUE      
00292               00292               TRUE      
0029A               0029A               TRUE      
0026F               0026F               TRUE      
00287               00287               TRUE      
00283               00283               TRUE      
00241               00241               TRUE      
00233               00233               TRUE      
00255               00255               TRUE      
002BD               002BD               TRUE      
001DB               001DB               TRUE      
00264               00264               TRUE      
00256               00256               TRUE      
00226               00226               TRUE      
0027D               0027D               TRUE      
0022B               0022B               TRUE      
0024D               0024D               TRUE      
00299               00299               TRUE      
002A2               002A2               TRUE      
0029F               0029F               TRUE      
00288               00288               TRUE      
002F0               002F0               TRUE      
00336               00336               TRUE      
0020C               0020C               TRUE      
0034E               0034E               TRUE      
001CF               001CF               TRUE      
0028B               0028B               TRUE      
0033A               0033A               TRUE      
00271               00271               TRUE      
0035B               0035B               TRUE      
00279               00279               TRUE      
002AD               002AD               TRUE      
002E2               002E2               TRUE      
0029D               0029D               TRUE      
002F7               002F7               TRUE      
0030E               0030E               TRUE      
002D4               002D4               TRUE      
00308               00308               TRUE      
0031A               0031A               TRUE      
002C1               002C1               TRUE      
0024F               0024F               TRUE      
00315               00315               TRUE      
0025F               0025F               TRUE      
00309               00309               TRUE      
002EB               002EB               TRUE      
00254               00254               TRUE      
002EF               002EF               TRUE      
002A4               002A4               TRUE      
002B5               002B5               TRUE      
0030B               0030B               TRUE      
002DB               002DB               TRUE      
002DC               002DC               TRUE      
0026D               0026D               TRUE      
002F3               002F3               TRUE      
00348               00348               TRUE      
0022E               0022E               TRUE      
002DF               002DF               TRUE      
0019A               0019A               TRUE      
002B6               002B6               TRUE      
002F0               002F0               TRUE      
00282               00282               TRUE      
00321               00321               TRUE      
002A9               002A9               TRUE      
002D3               002D3               TRUE      
002A3               002A3               TRUE      
002ED               002ED               TRUE      
002F5               002F5               TRUE      
002D2               002D2               TRUE      
002B8               002B8               TRUE      
00324               00324               TRUE      
00308               00308               TRUE      
0025D               0025D               TRUE      
00280               00280               TRUE      
002EC               002EC               TRUE      
00247               00247               TRUE      
0031A               0031A               TRUE      
00304               00304               TRUE      
00243               00243               TRUE      
002FE               002FE               TRUE      
002A7               002A7               TRUE      
0028D               0028D               TRUE      
002F6               002F6               TRUE      
